fan_state,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,collection_id
LOW,1340,1440,1770488112.7477,1770488119.2813,1770488116.006178,0.06463716029498821,0.269,0.30654507482587284,1.4619295605466087,6.26,1.6129302526767857,col_20260207_191320_5hz
LOW,1360,1460,1770488114.0558,1770488120.5884,1770488117.326208,0.06776778157059592,0.269,0.30828172391499303,1.4964660871533306,6.04,1.6410402188855702,col_20260207_191320_5hz
LOW,1380,1480,1770488115.3892,1770488121.9218,1770488118.646062,0.06975044799856127,0.2641,0.3003104503676154,1.4979549092012083,5.93,1.6327825942237382,col_20260207_191320_5hz
LOW,1400,1500,1770488116.6945,1770488123.2435,1770488119.9685335,0.06923157293460838,0.2551,0.2993195581648483,1.585174750618997,6.27,1.7039011121541061,col_20260207_191320_5hz
LOW,1420,1520,1770488118.0093,1770488124.5438,1770488121.2900703,0.06909933871608324,0.27540000000000003,0.2975515392331218,1.690114504996629,7.21,1.7480732250108975,col_20260207_191320_5hz
LOW,1440,1540,1770488119.3479,1770488125.87,1770488122.6095552,0.0642540683459032,0.26270000000000004,0.3024529660955568,1.7079370480202132,7.21,1.748577707738492,col_20260207_191320_5hz
LOW,1460,1560,1770488120.6551,1770488127.1774,1770488123.9272983,0.06158415460976955,0.25660000000000005,0.30096903046659135,1.6393403063427678,7.21,1.6936859212970983,col_20260207_191320_5hz
LOW,1480,1580,1770488121.9884,1770488128.5108,1770488125.2450979,0.06079346625255052,0.24710000000000001,0.30528337016614576,1.7462702654514852,8.2,1.8109323565500728,col_20260207_191320_5hz
LOW,1500,1600,1770488123.3101,1770488129.8605,1770488126.567378,0.06052711963244245,0.24710000000000001,0.3055225299384646,1.7417560793635831,8.440000000000001,1.822835154368052,col_20260207_191320_5hz
LOW,1520,1620,1770488124.6104,1770488131.1414,1770488127.888647,0.06010198036670673,0.24710000000000001,0.30599452478761774,1.5710138732678334,7.970000000000001,1.7293550821043089,col_20260207_191320_5hz
LOW,1540,1640,1770488125.9366,1770488132.4759,1770488129.2086709,0.06456817850148787,0.27490000000000003,0.30538884213408973,1.4518663127161537,7.970000000000001,1.6429007882401176,col_20260207_191320_5hz
LOW,1560,1660,1770488127.2441,1770488133.801,1770488130.5300307,0.0657087625435147,0.27490000000000003,0.3065794163018777,1.5740916618799554,7.970000000000001,1.726314571565681,col_20260207_191320_5hz
LOW,1580,1680,1770488128.5774,1770488135.1343,1770488131.854737,0.06545333356674815,0.2651,0.30098798165375307,1.459839289100002,7.970000000000001,1.6153337116521773,col_20260207_191320_5hz
LOW,1600,1700,1770488129.9271,1770488136.4246,1770488133.1699448,0.06866809170932305,0.2651,0.3040155589768392,1.3619420105129294,5.96,1.5184413060767281,col_20260207_191320_5hz
LOW,1620,1720,1770488131.2081,1770488137.7399,1770488134.486559,0.0673833541685185,0.25970000000000004,0.3024604871714651,1.5014165444672574,7.09,1.5854778459505512,col_20260207_191320_5hz
LOW,1640,1740,1770488132.5426,1770488139.0706,1770488135.8060389,0.0627611733080254,0.2453,0.3043171298169066,1.5324181022162326,7.09,1.5844216610485984,col_20260207_191320_5hz
LOW,1660,1760,1770488133.8676,1770488141.6422,1770488137.1374545,0.06147557316528249,0.2307,0.3008949491101504,1.568170459484555,7.09,1.6268254362407786,col_20260207_191320_5hz
LOW,1680,1780,1770488135.201,1770488142.5088,1770488138.6691744,0.0614686204172503,0.2534,0.30873306269332407,1.6373441910606332,7.09,1.6913521218244296,col_20260207_191320_5hz
LOW,1700,1800,1770488136.4913,1770488143.1755,1770488140.078792,0.05718201902696337,0.2534,0.300108039545761,1.6712262892858047,7.32,1.7240994750883718,col_20260207_191320_5hz
LOW,1720,1820,1770488137.8066,1770488144.3626,1770488141.405127,0.05955013668330242,0.2534,0.3068449786129798,1.562432718551426,7.13,1.6758377009722631,col_20260207_191320_5hz
LOW,1740,1840,1770488139.1373,1770488145.6578,1770488142.72753,0.06104351735442511,0.2534,0.3035345514105437,1.68052754812291,7.85,1.8111703398631502,col_20260207_191320_5hz
LOW,1760,1860,1770488141.7088,1770488146.9755,1770488144.032425,0.059740347596913095,0.2534,0.30732531542324987,1.7412963561668642,7.8,1.8741296646710441,col_20260207_191320_5hz
LOW,1780,1880,1770488142.5205,1770488148.3088,1770488145.1356041,0.06337082833607274,0.26880000000000004,0.29454385615727924,1.8907281031391057,8.67,2.045987292238151,col_20260207_191320_5hz
LOW,1800,1900,1770488143.1871,1770488149.6244,1770488146.36493,0.06512181854801047,0.26880000000000004,0.2979468799970894,1.8758309731956126,8.67,2.0200599001019746,col_20260207_191320_5hz
