fan_state,collection_id,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,accel_y_g_std,accel_y_g_range,accel_y_g_rms,accel_z_g_std,accel_z_g_range,accel_z_g_rms,gyro_x_dps_std,gyro_x_dps_range,gyro_x_dps_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,gyro_z_dps_std,gyro_z_dps_range,gyro_z_dps_rms,vibration_dps_std,vibration_dps_range,vibration_dps_rms,accel_mag_g_std,accel_mag_g_range,accel_mag_g_rms
LOW_ROT_ON,col_20260222_112119_20hz,840,940,1771770133.144671,1771770138.069131,1771770135.608548,0.10513222046071319,0.48250000000000004,0.3440188839293564,0.10826482854094399,0.4905,0.11038894283396322,0.04056246159936548,0.1653,1.084955505124519,4.257553141183325,20.14,4.728643040027446,3.8073018004881094,19.810000000000002,3.821490285215965,13.413962386632818,48.03,16.964340334949664,10.183235173823492,35.405,18.020895359104664,0.0497687471036035,0.20457147145258125,1.143531004957889
LOW_ROT_ON,col_20260222_112119_20hz,860,960,1771770134.117599,1771770139.057009,1771770136.6010156,0.10583500696839396,0.48250000000000004,0.3531803380710767,0.12111299541750258,0.5737,0.12576225308096226,0.041699168948553404,0.17159999999999997,1.0906944078430034,3.874660339952394,20.14,4.735504091435251,3.545134777409739,19.810000000000002,3.572077406776063,12.690529230887103,45.42,18.19075061672827,10.755835418668092,34.7271,19.133428318905633,0.04863639874554959,0.20436445891794208,1.1533285684487316
LOW_ROT_ON,col_20260222_112119_20hz,880,980,1771770135.149101,1771770140.150782,1771770137.622658,0.09819696962737699,0.48660000000000003,0.3515585999517008,0.12606067467295262,0.4969,0.15736938107522697,0.04000096272591449,0.17159999999999997,1.0960211912641107,3.0886201708853744,15.510000000000002,4.327556816495885,3.279756545842999,19.810000000000002,3.3013530559453956,12.256359091916327,39.58,18.05373155333822,10.84288660417746,36.112,18.85639998251257,0.04588055056057904,0.20436445891794208,1.161731906680711
LOW_ROT_ON,col_20260222_112119_20hz,900,1000,1771770136.137238,1771770141.100782,1771770138.6232574,0.0919724459770425,0.48660000000000003,0.34056312645381914,0.10520030809840815,0.4158,0.18339671480154707,0.034917958130452016,0.17159999999999997,1.0990348375734047,3.1425278041729405,12.89,4.003853393919413,3.0375975292984423,19.810000000000002,3.0446085134217173,12.421357197987666,45.81,16.21033121191544,10.206549256669268,36.112,16.972776088359854,0.04143066873021479,0.17521452665448223,1.1651159480068924
LOW_ROT_ON,col_20260222_112119_20hz,920,1020,1771770137.119131,1771770142.160785,1771770139.6473708,0.09216847953069422,0.48090000000000005,0.33179941787170153,0.08564815502391164,0.36569999999999997,0.20424630645375205,0.03248919541940059,0.17159999999999997,1.0983216328107173,3.151163435939177,14.919999999999998,3.9255715507426427,1.9516276181689989,11.129999999999999,1.9595295353732234,16.458719698384805,73.38,16.909117570115836,10.292151397269864,35.7164,17.469057942985934,0.041267942635015466,0.18614403505941213,1.1653831200510842
LOW_ROT_ON,col_20260222_112119_20hz,940,1040,1771770138.107009,1771770143.101137,1771770140.6543684,0.0851207891410788,0.4511,0.3310155920798898,0.08381726435526275,0.36519999999999997,0.21058529008456406,0.032153249835747556,0.17989999999999995,1.0936077723297324,3.4374042532120077,16.65,3.692999864608717,2.3328242518458175,14.690000000000001,2.344125209966396,16.795575313456816,69.83,17.06967284396511,10.564533339819796,37.665800000000004,17.62120777743115,0.040084040582470594,0.18498779614266003,1.161850010242286
LOW_ROT_ON,col_20260222_112119_20hz,960,1060,1771770139.227129,1771770144.071112,1771770141.6571887,0.08673151027740726,0.5239,0.32755618311978174,0.10839100355195537,0.4455,0.1960462167449298,0.031013290876654793,0.17179999999999995,1.0915236768389405,3.7843554272821684,17.58,3.813924750175336,3.0674208367943256,18.009999999999998,3.121384148098404,15.5753958806831,63.22,17.843120410959514,10.857629496476845,37.665800000000004,18.511239643297795,0.04185884511703394,0.23776658434761044,1.1563525021808876
LOW_ROT_ON,col_20260222_112119_20hz,980,1080,1771770140.177129,1771770145.487889,1771770142.7196045,0.09263818920941838,0.5239,0.3326110891115929,0.12186965453302966,0.4455,0.16800795397837567,0.03717784839121274,0.18619999999999992,1.090966655448277,3.9823311903958967,20.490000000000002,3.9897199149815012,4.1884014265588245,21.009999999999998,4.256670412423306,13.495826123287154,46.660000000000004,18.287297859443314,10.91504229348998,36.7547,19.195374603500188,0.04406424269473085,0.244387461964934,1.1528508370556878
LOW_ROT_ON,col_20260222_112119_20hz,1000,1100,1771770141.260785,1771770146.371667,1771770143.8094141,0.10057181185103507,0.5239,0.34735904292244935,0.15096112178637253,0.6113,0.15628725315904687,0.04334913465110925,0.1987,1.0834725347234235,4.59562616408254,25.840000000000003,4.5977459694941825,4.456921408326604,21.009999999999998,4.564814125460094,14.754502585990489,50.57,18.379081696319872,10.588000622244929,36.7547,19.48762418650103,0.04908901037529109,0.244387461964934,1.1484758350527016
LOW_ROT_ON,col_20260222_112119_20hz,1020,1120,1771770142.201137,1771770147.089594,1771770144.7998765,0.09655344749929957,0.49369999999999997,0.35423659777047317,0.14891715601635697,0.6103000000000001,0.15280235600277897,0.043200584938169535,0.1987,1.0742879688891616,4.455263273926694,25.840000000000003,4.4554039098604745,4.577488056783982,21.009999999999998,4.6392853975585515,13.715397370838367,50.57,15.988162933870795,9.708001195299886,36.7714,17.23353892432428,0.046586996153130986,0.244387461964934,1.1414581758873166
LOW_ROT_ON,col_20260222_112119_20hz,1040,1140,1771770143.121112,1771770148.087839,1771770145.7966201,0.10832652705593397,0.5315,0.34508727475814,0.1146218306257582,0.4768,0.13908886727556594,0.046031664960111976,0.1987,1.0750749248773315,4.635554261358614,25.840000000000003,4.668221824206729,4.619759183117666,21.009999999999998,4.632275790580695,13.249625027146994,65.65,13.759023511863042,8.31330604971927,36.0137,15.249948052642672,0.04940645699787067,0.244387461964934,1.1376366002814784
