id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,sample_rate,fan_state,collection_id,timestamp_iso,sample_rate_configured_hz,sample_rate_real_hz,vibration_dps,accel_mag_g
157,1770488026.9484,30.1,9.33658,0.2354,-0.0005,-1.1116,1.1,-0.17,-9.27,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.948400Z,15.0,13.34,9.33658,1.136251719470646
158,1770488027.015,30.1,6.59935,0.2444,-0.0198,-1.071,1.05,-0.92,-6.45,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.015000Z,15.0,13.34,6.59935,1.0987103348926868
159,1770488027.0817,30.1,5.56419,0.2478,0.0105,-1.0513,2.44,-0.71,-4.95,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.081700Z,15.0,13.34,5.56419,1.080160534365147
160,1770488027.1484,30.1,7.51442,0.2336,-0.021,-1.0588,4.41,1.9,-5.78,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.148400Z,15.0,13.34,7.51442,1.084466412573483
161,1770488027.215,30.1,6.93803,0.2368,0.0105,-1.0669,4.28,2.83,-4.67,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.214999Z,15.0,13.34,6.93803,1.092913583043051
162,1770488027.2817,30.2,7.12312,0.3101,-0.0046,-1.0781,-0.42,1.25,-7.0,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.281699Z,15.0,13.34,7.12312,1.1218211889601657
163,1770488027.3484,30.2,8.3818,0.3301,0.0071,-1.0891,-4.3,1.62,-7.01,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.348400Z,15.0,13.34,8.3818,1.1380488697766893
164,1770488027.415,30.1,11.7318,0.3193,0.0452,-1.0789,-1.98,1.21,-11.5,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.414999Z,15.0,13.34,11.7318,1.1260642699242347
165,1770488027.4817,30.1,15.6452,0.3477,-0.01,-1.1047,-4.66,0.67,-14.92,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.481699Z,15.0,13.34,15.6452,1.1581698407401222
166,1770488027.5484,30.2,20.4253,0.3811,0.0056,-1.1091,-5.24,0.26,-19.74,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.548399Z,15.0,13.34,20.4253,1.1727622862285434
167,1770488027.615,30.1,21.9242,0.3821,0.0388,-1.0525,-1.75,0.43,-21.85,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.615000Z,15.0,13.34,21.9242,1.1203847999682965
168,1770488027.6817,30.1,24.1914,0.3918,0.0232,-1.0645,-3.03,0.21,-24.0,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.681699Z,15.0,13.34,24.1914,1.1345508935257158
169,1770488027.7484,30.1,22.6719,0.3391,0.0903,-1.0803,-2.44,-0.68,-22.53,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.748399Z,15.0,13.34,22.6719,1.1358657447075335
170,1770488027.815,30.1,19.7955,0.3728,0.0701,-1.0674,-3.63,-2.41,-19.31,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.815000Z,15.0,13.34,19.7955,1.1328003398657682
171,1770488027.8817,30.2,14.381,0.3164,0.1245,-1.0854,1.2,-1.52,-14.25,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.881700Z,15.0,13.34,14.381,1.1374103788870575
172,1770488027.9484,30.1,10.5361,0.2612,0.1392,-1.0815,3.46,0.19,-9.95,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:47.948400Z,15.0,13.34,10.5361,1.1212690711867512
173,1770488028.015,30.1,7.04592,0.2385,0.1042,-1.0991,3.36,-0.73,-6.15,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.015000Z,15.0,13.34,7.04592,1.1294957724577812
